departure,time,flight,airline,info_url,status,is_departure
Lucknow (LKO),11:00,G8808,Go First,https://www.bangaloreairport.com/kempegowda-flight-departure/G8808,Scheduled - Delayed [+],True
Vijaynagar (VDY),11:10,2T622,TruJet,https://www.bangaloreairport.com/kempegowda-flight-arrival/2T622,Scheduled [+],False
Bhubaneswar (BBI),11:15,I51565,AirAsia India,https://www.bangaloreairport.com/kempegowda-flight-arrival/I51565,Landed - On-time [+],False
Delhi (DEL),11:15,6E2026,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E2026,Landed - On-time [+],False
Udaipur (UDR),11:20,SG469,SpiceJet,https://www.bangaloreairport.com/kempegowda-flight-arrival/SG469,En Route - Delayed [+],False
Mumbai (BOM),11:20,6E5366,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E5366,Landed - On-time [+],False
Singapore (SIN),11:20,G828,Go First,https://www.bangaloreairport.com/kempegowda-flight-arrival/G828,Unknown [+],False
Delhi (DEL),11:20,I5741,AirAsia India,https://www.bangaloreairport.com/kempegowda-flight-departure/I5741,En Route [+],True
Pune (PNQ),11:20,6E6104,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E6104,En Route [+],True
Indore (IDR),11:25,6E6394,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E6394,Landed - On-time [+],False
Ahmedabad (AMD),11:25,G8802,Go First,https://www.bangaloreairport.com/kempegowda-flight-arrival/G8802,Landed - On-time [+],False
Delhi (DEL),11:30,"UK816
BA5838","Vistara
British Airways",https://www.bangaloreairport.com/kempegowda-flight-departure/UK816,Scheduled - On-time [+],True
Phuket (HKT),11:30,G842,Go First,https://www.bangaloreairport.com/kempegowda-flight-arrival/G842,Unknown [+],False
Chandigarh (IXC),11:30,UK657,Vistara,https://www.bangaloreairport.com/kempegowda-flight-departure/UK657,En Route [+],True
Lucknow (LKO),11:35,6E325,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E325,Landed - On-time [+],False
Raipur (RPR),11:40,6E406,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E406,Landed - On-time [+],False
Bidar (IXX),11:40,2T625,TruJet,https://www.bangaloreairport.com/kempegowda-flight-departure/2T625,Scheduled [+],True
Indore (IDR),11:40,6E6535,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E6535,Scheduled - On-time [+],True
Kolkata (CCU),11:45,6E503,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E503,Scheduled - On-time [+],True
Bagdogra (IXB),11:45,I52392,AirAsia India,https://www.bangaloreairport.com/kempegowda-flight-departure/I52392,Scheduled - On-time [+],True
Patna (PAT),11:45,G8274,Go First,https://www.bangaloreairport.com/kempegowda-flight-departure/G8274,Scheduled - Delayed [+],True
Bhubaneswar (BBI),11:50,AI738,Air India,https://www.bangaloreairport.com/kempegowda-flight-departure/AI738,Scheduled [+],True
Delhi (DEL),11:50,UK801,Vistara,https://www.bangaloreairport.com/kempegowda-flight-arrival/UK801,En Route - On-time [+],False
Bhopal (BHO),11:50,6E703,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E703,Landed - On-time [+],False
Bagdogra (IXB),11:55,I51781,AirAsia India,https://www.bangaloreairport.com/kempegowda-flight-arrival/I51781,En Route - On-time [+],False
Delhi (DEL),11:55,6E2027,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E2027,Scheduled - On-time [+],True
